,expert_text,simple_reference,model_output,fk_expert,fk_reference,fk_model
30,"After the prodrome, maculopapular lesions develop on the oropharyngeal mucosa, face, and arms, spreading shortly thereafter to the trunk and legs.","After 2 or 3 days, a rash of flat, red spots develops in the mouth and on the face. Shortly thereafter, It spreads to the trunk and legs, then the hands and feet.","The first symptoms of dengue fever are fever, headache, pain behind the eyes, muscle and joint pain, and a characteristic skin rash that begins on the face and spreads to the rest of the body, including the arms, legs, and torso.",13.390476190476189,4.790454545454548,16.51707317073171
31,"Many males with breast cancer have inherited a BRCA mutation, but there are other causes, including alcohol abuse and exposure to certain hormones and ionizing radiation.","Many males with breast cancer have got it through a BRCA mutation, but there are other causes, including alcohol abuse and exposure to certain hormones and ionizing radiation.",Many men who have breast cancer inherited a mutation in the BRCA1 or BRCA2 gene. Other causes of breast cancer in men include drinking too much alcohol and being exposed to certain types of hormones and radiation (such as radiation from an atomic bomb).,17.69615384615385,16.40142857142857,12.29909090909091
32,"Robert Headland of the Scott Polar Research Institute has suggested various reasons for these false sightings, ranging from `` too much rum '' to deliberate hoaxes designed to lure rival ships away from good sealing grounds.","Polar historian Robert Headland of the Scott Polar Research Institute has suggested various reasons for these false sightings, ranging from `` too much rum '' to deliberate hoaxes designed to lure rival ships away from good sealing grounds.","There have been many false sightings of the Flying Dutchman over the years, with various reasons suggested for these sightings, such as `` too many drinks '' or a deliberate hoax to lure a rival ship away from a good place to hunt for seals, but there is no evidence to support any of these claims.",16.75823529411765,18.444444444444446,21.858888888888888
33,A PET scan also commonly is done to assess the extent of disease as well as the cervical lymphatics.,A positron emission tomography (PET) scan also commonly is done to assess the extent of the cancer and the lymph nodes in the neck.,"Sometimes, a PET scan is used to see how far the cancer has spread to the lymph nodes in the neck or to other parts of the body, such as the lungs, liver, bones, or distant lymph nodes (distant metastasis). A PET scan can also be used to check how well the cancer responds to treatment.",9.830526315789477,11.96166666666667,10.080000000000002
34,"Other causes have been attributed to contaminants produced by outgassing of some types of building materials, volatile organic compounds ( VOC ), molds ( see mold health issues ), improper exhaust ventilation of ozone ( byproduct of some office machinery ), light industrial chemicals used within, or lack of adequate fresh-air intake/air filtration ( see Minimum Efficiency Reporting Value ).","Other causes have been contaminants produced by outgassing of some types of building materials, volatile organic compounds ( VOC ), molds ( see mold health issues ), improper exhaust ventilation of ozone ( byproduct of some office machinery ), using light industrial chemicals in the building, or lack of adequate fresh-air intake/air filtration ( see Minimum Efficiency Reporting Value ).","Other causes of indoor air pollution include contaminants from building materials that outgas ( release gas ), volatile organic chemicals ( VOCs ), molds, improper exhaust of ozone from office machinery, chemicals used in the building, or a lack of fresh air or air filtration.",28.51692307692308,28.063076923076924,21.98536585365854
35,Waist circumference and the presence of metabolic syndrome appear to predict risk of metabolic and cardiovascular complications better than BMI does.,"Waist circumference is measured. This measurement helps identify and quantify abdominal (visceral) obesity, which is fat that accumulates around the waist and in the abdomen. Abdominal obesity is much more harmful than fat that is distributed throughout the body under the skin (subcutaneous fat).","Waist size is a better predictor of health risks than body mass index (BMI) because it takes into account the amount of fat in the abdominal area, which is a risk factor for many health problems, including heart disease, stroke, type 2 diabetes, and certain cancers.",16.2,12.65727272727273,20.56304347826087
36,Clinically evident chronic venous insufficiency may not cause any symptoms but always causes signs; postphlebitic syndrome always causes symptoms.,"People with chronic venous insufficiency have leg swelling (edema), which typically is worse at the end of the day because blood must flow upward against gravity when a person is standing or sitting.","In some people, the veins in the legs do not work properly. This is called venous stasis or venous thrombosis. It can cause pain, swelling, and discoloration of the legs. In some cases, the skin may become thickened and hardened.",16.04105263157895,16.231515151515154,5.1250000000000036
37,"If there is no mass but cancer is otherwise suspected or if other tests are indeterminate, the following is done: Mammography.","When there is no lump but cancer is still suspected or when other test results are unclear, mammography is done.","If a mass is not found but doctors suspect cancer or other test results are not clear, a mammogram may be done to look for cancer in the breast tissue or in the lymph nodes in the armpit. A mammogram is an X-ray picture of the breast.",12.828571428571426,9.32,8.638829787234044
38,"Genital lesions cause painful epididymal swelling, deep perineal discomfort, or prostatic tenderness detected during rectal examination.","In men, the coiled tube on top of testes (epididymis) may swell, causing pain, or infection of the prostate gland (prostatitis) may cause discomfort.","Genital sores may cause painful swelling of the epididymes, deep discomfort in the perineum, or tenderness of the prostate gland, which can be detected during a rectal exam (proctoscopy) of the rectum.",18.675,10.486666666666668,15.3275
39,"Inflammatory breast cancer is characterized by peau d'orange, erythema, and enlargement of the breast, often without a mass. A nipple discharge is common.","In inflammatory breast cancer, the breast is warm, red, and swollen, as if infected (but it is not). A discharge from the nipple is common. Often, no lump can be felt in the breast, but the entire breast is enlarged.","The breast may become red, swollen, and tender, and the skin may have a texture similar to an orange peel (peau d 'orange). The breast may also become larger, but a lump may not be present. A clear or bloody discharge from the nipple is common.",10.442826086956522,5.835000000000001,6.294347826086959
40,"Acute ulcerative blepharitis is usually caused by bacterial infection (usually staphylococcal) of the eyelid margin at the origins of the eyelashes; the lash follicles and the meibomian glands are also involved. It may also be due to a virus (eg, herpes simplex, varicella zoster). Acute nonulcerative blepharitis is usually caused by an allergic reaction involving the same area (eg, atopic blepharodermatitis and seasonal allergic blepharoconjunctivitis, which cause intense itching, rubbing, and a rash; or contact sensitivity [ dermatoblepharoconjunctivitis ]).","Disorders that may cause blepharitis include bacterial (typically staphylococcal) infection of the eyelids or the ducts of the deeper glands that open at the edges of the eyelids, certain viral infections (usually herpes simplex), and allergic reactions (to pollens or sometimes to eye drops).","Acute (short-term) ulcerative (involving ulcers) and non-ulcerative (not involving ulcers but causing redness, swelling, and sometimes a rash) forms of the condition are caused by a bacterial infection, a viral infection (such as herpes simplex or chickenpox), or an allergy.",19.858961038961045,23.024545454545457,21.840000000000007
41,"Other manifestations of cirrhosis may be present. Cirrhosis, if compensated, may be asymptomatic. The liver is usually small; when the liver is enlarged, hepatic steatosis or hepatoma should be considered.","Symptoms may also result from the complications of cirrhosis (see Introduction, above). After cirrhosis develops, the liver usually shrinks.","Cirrhosis of the liver may not cause any symptoms, or it may cause a variety of symptoms, depending on the cause and the extent of liver damage. The most common symptom is jaundice (a yellowish discoloration of the skin and the whites of the eyes).",11.51666666666667,12.957105263157896,11.016111111111112
42,"Further evaluation may include enhanced CT or MRI of the head, neck, and chest; thyroid scan; barium swallow or bronchoscopy; and esophagoscopy.","In addition to asking questions about a person 's medical history, doctors base the diagnosis on laryngoscopy. Laryngoscopy is examination of the larynx, with a thin, flexible viewing tube. Additional testing may include Magnetic resonance imaging (MRI) or computed tomography (CT) of the head, neck, and chest; A scan of the thyroid gland; X-rays of the esophagus (barium swallow).","Other tests that may be done include a CT scan, MRI scan, thyroid scan, and a test in which a doctor uses a flexible tube with a camera and a light on the end to look at the esophagus (called an esophagoscope).",11.22636363636364,13.280000000000005,16.24238095238095
43,Endotracheal intubation and continuous positive airway pressure (CPAP) Mechanical ventilation as needed Supplemental oxygen as needed,Sometimes suctioning of the airways Measures to support breathing,"A tube may be inserted through the mouth or nose and into the lungs to help the person breathe (endotrachial intubations). If the person is having trouble breathing, a machine may be used to help him or her breathe (mechanical ventilation).",21.625000000000004,8.89777777777778,10.248902439024391
44,"In adults, BMI, defined as weight (kg) divided by the square of the height (m2), is used to screen for overweight or obesity (see table Body Mass Index (BMI)): Overweight = 25 to 29.9 kg/m2; Obesity = 30 kg/m2.",Obesity is diagnosed by determining the BMI.,"The body mass index (BMI) is calculated by dividing the weight in kilograms by the height in meters squared (kg/m2). A BMI of 18.5 to 24.9 is considered normal. A BMI between 25 and 29 is considered overweight, and 30 or higher is considered obese.",9.80337837837838,12.425714285714289,5.751111111111115
45,History of present illness should include the following: Whether the current discharge is unilateral or bilateral; What its color is; How long it has lasted; Whether it is spontaneous or occurs only with nipple stimulation; Whether a mass or breast pain is present.,Nipple discharge is a cause for concern when it Occurs without the nipple 's being squeezed or stimulated by other means (when it occurs spontaneously); Occurs in women aged 40 or older; Comes from only one breast; Is bloody or pink; Is accompanied by a lump that can be felt; Occurs in a boy or man.,"The doctor will ask questions about the discharge, such as: Is the discharge from one or both breasts? What color is the discharge? How long has the discharge lasted? Does the discharge happen on its own or only when the nipple is stimulated? Is there a lump or pain in the breast?",21.486976744186048,23.31785714285714,3.8967692307692303
46,"Patients with positive fecal occult blood tests require colonoscopy, as do those with lesions seen during sigmoidoscopy or an imaging study.","People with blood in their stool require colonoscopy, as do those with abnormalities seen during a sigmoidoscopy or an imaging study.","If the stool test is positive, or if a doctor sees a polyp or other abnormality in the colon, a doctor will use a colonoscope to look at the inside of the colon and remove any polyps or other growths that may be causing the bleeding.",12.26666666666667,11.704761904761906,19.280434782608697
47,A feeling of scratchiness or of a foreign body may be caused by either a conjunctival or a corneal disorder.,A feeling of scratchiness or a foreign body sensation may be caused by a disorder of the conjunctiva (the thin membrane that lines the eyelid and covers the front of the eye) or of the cornea.,"A scratchy feeling or a feeling that something is in the eye may be due to a disorder of the conjunctiva or the cornea (the clear layer on the front of the eye). A scratchy or foreign body feeling may also be caused when the eye is irritated by something in the air, such as pollen or dust.",11.090000000000003,15.822222222222226,11.995862068965518
48,Identified rhythm disturbances and underlying disorders are investigated and treated (see table Some Treatments for Arrhythmias).,Other identified rhythm disturbances and underlying disorders are investigated and treated (see Abnormal Heart Rhythms).,"If the cause of the arrhythmia is known, it is treated. If the cause is not known, tests are done to try to find out what it is (see Some Tests Used to Find the Cause of an Arrhythmia). If the underlying disorder is not treated, it can lead to complications such as heart failure, stroke, or death.",18.675,18.580000000000002,7.208620689655174
49,"Vasculitic skin lesions may include mottled erythema on the palms and fingers, periungual erythema, nail -fold infarcts, urticaria, and palpable purpura. Petechiae may develop secondary to thrombocytopenia.","Mottled red areas on the sides of the palms and up the fingers, redness and swelling around the nails, and flat, reddish purple blotches between the knuckles on the inner surfaces of the fingers also may occur. Purplish spots (petechiae) may occur because of bleeding in the skin as a result of low platelet levels in the blood.","The skin may become red and inflamed (erythema) and may develop small, purple spots (petechiae) due to a low platelet count. The fingers and toes may become discolored, and the nails may become inflamed.",13.712037037037042,13.01310344827586,8.39294117647059
50,"Disseminated gonococcal infection (DGI), also called the arthritis - dermatitis syndrome, reflects bacteremia and typically manifests with fever, migratory pain or joint swelling (polyarthritis), and pustular skin lesions. In some patients, pain develops and tendons (eg, at the wrist or ankle) redden or swell. Skin lesions occur typically on the arms or legs, have a red base, and are small, slightly painful, and often pustular. DGI can mimic other disorders that cause fever, skin lesions, and polyarthritis (eg, the prodrome of hepatitis B infection or meningococcemia); some of these other disorders (eg, reactive arthritis) also cause genital symptoms.","Rarely, disseminated gonococcal infection (arthritis - dermatitis syndrome) develops. It occurs when the infection spreads through the bloodstream to other parts of the body, especially the skin and joints. Joints become swollen, tender, and extremely painful, limiting movement. The skin over infected joints may be red and warm. People typically have a fever, feel generally ill, and develop arthritis in one or more joints. Small, red spots may appear on the skin, usually on the arms and legs. The spots are slightly painful and may be filled with pus.","In some people, the infection spreads to the skin, causing small, painful, pus-filled bumps (pustules) that usually appear on the legs or arms. The bumps may be accompanied by redness and swelling of the tendons, which are the cords that connect muscles to bones.",14.547912371134021,8.353766233766233,9.885454545454547
51,"This allows two different avenues for the nucleophilic attack, one on either side of the planar molecule.","This allows two different paths for the nucleophilic attack, one on either side of the planar molecule.","This allows the nucleophile to attack the molecule in two different ways, one from each side of a planar shape (a shape that lies in a single plane, like a flat sheet of paper or a piece of paper that is folded in half).",11.169411764705881,9.781176470588235,16.856363636363636
52,"Dyspnea, tachypnea, and inspiratory stridor may be present, often causing the child to sit upright, lean forward, and hyperextend the neck with the jaw thrust forward and mouth open in an effort to enhance air exchange (tripod position). Relinquishing this position may herald respiratory failure. Suprasternal, supraclavicular, and subcostal inspiratory retractions may be present.","As swelling of the epiglottis starts to narrow the airway, the child first begins to make a squeaking noise when breathing in (stridor) and then has progressively worse trouble breathing. The condition progresses rapidly.","A child with respiratory distress may sit up and lean forward with the neck hyperextended and the mouth open, in an attempt to breathe more easily. If the child stops sitting in this position, it may be a sign that the lungs are not getting enough oxygen.",13.93740740740741,9.434117647058823,10.647340425531919
53,"Respiratory stimulants (eg, caffeine)",Stimulants (caffeine),"Caffeine is a stimulant that can be used to help people who are having trouble breathing, but it should only be used under the guidance of a doctor or other medical professional. Caffeine can be found in many foods and drinks, such as coffee, tea, cola, and chocolate.",18.420000000000005,14.690000000000001,10.978333333333332
54,"Lewis acids such as boron trifluoride, zinc chloride, iron ( III ) chloride, and aluminium chloride are also useful catalysts.","Lewis acids such as boron trifluoride, zinc chloride, iron chloride, and aluminium chloride are also useful catalysts.","Other catalysts include Lewis acids, such as BF3, ZnCl2, FeCl3, and AlCl3; and metal catalysts such as Pd, Pt, Ni, and Cu. These catalysts speed up the reaction by lowering the activation energy of the reaction.",14.374444444444446,14.64,11.424444444444447
55,"However, a positive test for blood can result from nonmalignant disorders (eg, ulcers, diverticulosis), and a negative test does not rule out cancer because cancers do not bleed continuously.","However, many disorders besides cancer can cause blood in the stool and not all cancers bleed at all times.","A positive test result can be caused by noncancerous conditions, such as ulcers or diverticula. A negative test result does not mean that cancer is not present, because cancer does not bleed all the time, so the test may not detect the bleeding.",17.69241379310345,8.588421052631581,10.357790697674421
56,"In extreme cases, a person may only be able to tell light from dark in that eye.","In extreme cases, a person will only be able to tell light from dark in that eye.","In some cases, people can only see light and dark in the affected eye, but not the details of what is in front of them. In other cases, the person can see the details, but the vision is blurry or distorted. The vision in the other eye is usually not affected.",6.310588235294119,6.310588235294119,7.698823529411765
